class_name, cluster_id
ClassDefinition(StatusHandler,jedit_4.3\jEdit\org\gjt\sp\jedit\EditPane.java):1272,1
ClassDefinition(MarkerHighlight,jedit_4.3\jEdit\org\gjt\sp\jedit\EditPane.java):1325,1
ClassDefinition(EditPlugin,jedit_4.3\jEdit\org\gjt\sp\jedit\EditPlugin.java):248,1
ClassDefinition(Broken,jedit_4.3\jEdit\org\gjt\sp\jedit\EditPlugin.java):792,1
ClassDefinition(Deferred,jedit_4.3\jEdit\org\gjt\sp\jedit\EditPlugin.java):817,1
ClassDefinition(EditServer,jedit_4.3\jEdit\org\gjt\sp\jedit\EditServer.java):59,1
ClassDefinition(GUIUtilities,jedit_4.3\jEdit\org\gjt\sp\jedit\GUIUtilities.java):90,1
ClassDefinition(UnixWorkaround,jedit_4.3\jEdit\org\gjt\sp\jedit\GUIUtilities.java):1173,1
ClassDefinition(ComponentHandler,jedit_4.3\jEdit\org\gjt\sp\jedit\GUIUtilities.java):1217,1
ClassDefinition(SizeSaver,jedit_4.3\jEdit\org\gjt\sp\jedit\GUIUtilities.java):1927,1
ClassDefinition(IPropertyManager,jedit_4.3\jEdit\org\gjt\sp\jedit\IPropertyManager.java):31,1
ClassDefinition(JARClassLoader,jedit_4.3\jEdit\org\gjt\sp\jedit\JARClassLoader.java):48,1
ClassDefinition(SingleElementEnumeration,jedit_4.3\jEdit\org\gjt\sp\jedit\JARClassLoader.java):283,1
ClassDefinition(jEdit,jedit_4.3\jEdit\org\gjt\sp\jedit\jEdit.java):75,1
ClassDefinition(FirewallAuthenticator,jedit_4.3\jEdit\org\gjt\sp\jedit\jEdit.java):3813,1
ClassDefinition(MyFocusManager,jedit_4.3\jEdit\org\gjt\sp\jedit\jEdit.java):4297,1
ClassDefinition(JEditPropertyManager,jedit_4.3\jEdit\org\gjt\sp\jedit\jEdit.java):4341,1
ClassDefinition(DockingLayoutSetter,jedit_4.3\jEdit\org\gjt\sp\jedit\jEdit.java):4350,1
ClassDefinition(JEditAbstractEditAction<E>,jedit_4.3\jEdit\org\gjt\sp\jedit\JEditAbstractEditAction.java):34,1
ClassDefinition(JEditActionContext<F,1
ClassDefinition(JEditActionSet<E,1
ClassDefinition(JEditBeanShellAction,jedit_4.3\jEdit\org\gjt\sp\jedit\JEditBeanShellAction.java):45,1
ClassDefinition(JEditKillRing,jedit_4.3\jEdit\org\gjt\sp\jedit\JEditKillRing.java):42,1
ClassDefinition(KillRingHandler,jedit_4.3\jEdit\org\gjt\sp\jedit\JEditKillRing.java):138,1
ClassDefinition(JEditMode,jedit_4.3\jEdit\org\gjt\sp\jedit\JEditMode.java):32,1
ClassDefinition(JEditRegisterSaver,jedit_4.3\jEdit\org\gjt\sp\jedit\JEditRegisterSaver.java):37,1
ClassDefinition(RegistersHandler,jedit_4.3\jEdit\org\gjt\sp\jedit\JEditRegisterSaver.java):148,1
ClassDefinition(JEditRegistersListener,jedit_4.3\jEdit\org\gjt\sp\jedit\JEditRegistersListener.java):30,1
ClassDefinition(Macros,jedit_4.3\jEdit\org\gjt\sp\jedit\Macros.java):63,1
ClassDefinition(Macro,jedit_4.3\jEdit\org\gjt\sp\jedit\Macros.java):405,1
ClassDefinition(Recorder,jedit_4.3\jEdit\org\gjt\sp\jedit\Macros.java):752,1
ClassDefinition(BeanShellHandler,jedit_4.3\jEdit\org\gjt\sp\jedit\Macros.java):1000,1
ClassDefinition(Marker,jedit_4.3\jEdit\org\gjt\sp\jedit\Marker.java):41,1
ClassDefinition(MiscUtilities,jedit_4.3\jEdit\org\gjt\sp\jedit\MiscUtilities.java):87,1
ClassDefinition(VarCompressor,jedit_4.3\jEdit\org\gjt\sp\jedit\MiscUtilities.java):1770,1
ClassDefinition(Mode,jedit_4.3\jEdit\org\gjt\sp\jedit\Mode.java):52,1
ClassDefinition(ModeCatalogHandler,jedit_4.3\jEdit\org\gjt\sp\jedit\ModeCatalogHandler.java):34,1
ClassDefinition(OptionGroup,jedit_4.3\jEdit\org\gjt\sp\jedit\OptionGroup.java):38,1
ClassDefinition(OptionPane,jedit_4.3\jEdit\org\gjt\sp\jedit\OptionPane.java):36,1
ClassDefinition(PerspectiveManager,jedit_4.3\jEdit\org\gjt\sp\jedit\PerspectiveManager.java):42,1
ClassDefinition(PluginJAR,jedit_4.3\jEdit\org\gjt\sp\jedit\PluginJAR.java):127,1
ClassDefinition(PluginDepends,jedit_4.3\jEdit\org\gjt\sp\jedit\PluginJAR.java):638,1
ClassDefinition(PluginCacheEntry,jedit_4.3\jEdit\org\gjt\sp\jedit\PluginJAR.java):1474,1
ClassDefinition(PropertyManager,jedit_4.3\jEdit\org\gjt\sp\jedit\PropertyManager.java):28,1
ClassDefinition(Registers,jedit_4.3\jEdit\org\gjt\sp\jedit\Registers.java):62,1
