method_name, cluster_id
FunctionSignature(QuickNotepadToolPanel::actionPerformed:1):62,1
FunctionSignature(QuickNotepadToolPanel::actionPerformed:1):67,1
FunctionSignature(QuickNotepadToolPanel::actionPerformed:1):73,1
FunctionSignature(QuickNotepadToolPanel::propertiesChanged:0):79,1
FunctionSignature(QuickNotepadToolPanel::makeCustomButton:2):86,1
FunctionSignature(AppBundleProperties::addJavaProperty:2):105,1
FunctionSignature(AppBundleProperties::getJavaProperties:0):109,1
FunctionSignature(AppBundleProperties::addToClassPath:1):113,1
FunctionSignature(AppBundleProperties::addToExtraClassPath:1):117,1
FunctionSignature(AppBundleProperties::getExtraClassPath:0):121,1
FunctionSignature(AppBundleProperties::createDocumentType:0):125,1
FunctionSignature(AppBundleProperties::getDocumentTypes:0):129,1
FunctionSignature(AppBundleProperties::addDocumentType:1):136,1
FunctionSignature(AppBundleProperties::createService:0):140,1
FunctionSignature(AppBundleProperties::getServices:0):144,1
FunctionSignature(AppBundleProperties::addService:1):151,1
FunctionSignature(AppBundleProperties::setApplicationName:1):157,1
FunctionSignature(AppBundleProperties::getApplicationName:0):161,1
FunctionSignature(AppBundleProperties::setCFBundleName:1):170,1
FunctionSignature(AppBundleProperties::getCFBundleName:0):179,1
FunctionSignature(AppBundleProperties::setCFBundleVersion:1):186,1
FunctionSignature(AppBundleProperties::getCFBundleVersion:0):190,1
FunctionSignature(AppBundleProperties::setCFBundleInfoDictionaryVersion:1):194,1
FunctionSignature(AppBundleProperties::getCFBundleInfoDictionaryVersion:0):198,1
FunctionSignature(AppBundleProperties::setCFBundleIdentifier:1):202,1
FunctionSignature(AppBundleProperties::getCFBundleIdentifier:0):206,1
FunctionSignature(AppBundleProperties::setCFBundleGetInfoString:1):210,1
FunctionSignature(AppBundleProperties::getCFBundleGetInfoString:0):214,1
FunctionSignature(AppBundleProperties::setCFBundleShortVersionString:1):221,1
FunctionSignature(AppBundleProperties::getCFBundleShortVersionString:0):225,1
FunctionSignature(AppBundleProperties::setCFBundleIconFile:1):229,1
FunctionSignature(AppBundleProperties::getCFBundleIconFile:0):233,1
FunctionSignature(AppBundleProperties::setCFBundleAllowMixedLocalizations:1):237,1
FunctionSignature(AppBundleProperties::getCFBundleAllowMixedLocalizations:0):241,1
FunctionSignature(AppBundleProperties::setCFBundleExecutable:1):245,1
FunctionSignature(AppBundleProperties::getCFBundleExecutable:0):249,1
FunctionSignature(AppBundleProperties::setCFBundleDevelopmentRegion:1):253,1
FunctionSignature(AppBundleProperties::getCFBundleDevelopmentRegion:0):257,1
FunctionSignature(AppBundleProperties::setCFBundlePackageType:1):261,1
FunctionSignature(AppBundleProperties::getCFBundlePackageType:0):265,1
FunctionSignature(AppBundleProperties::setCFBundleSignature:1):269,1
FunctionSignature(AppBundleProperties::getCFBundleSignature:0):273,1
FunctionSignature(AppBundleProperties::setCFBundleHelpBookFolder:1):277,1
FunctionSignature(AppBundleProperties::getCFBundleHelpBookFolder:0):281,1
FunctionSignature(AppBundleProperties::setCFBundleHelpBookName:1):285,1
FunctionSignature(AppBundleProperties::getCFBundleHelpBookName:0):289,1
FunctionSignature(AppBundleProperties::setMainClass:1):293,1
FunctionSignature(AppBundleProperties::getMainClass:0):297,1
FunctionSignature(AppBundleProperties::setJVMVersion:1):301,1
FunctionSignature(AppBundleProperties::getJVMVersion:0):305,1
FunctionSignature(AppBundleProperties::setVMOptions:1):309,1
FunctionSignature(AppBundleProperties::getVMOptions:0):313,1
FunctionSignature(AppBundleProperties::setWorkingDirectory:1):317,1
FunctionSignature(AppBundleProperties::getWorkingDirectory:0):321,1
FunctionSignature(AppBundleProperties::setArguments:1):325,1
FunctionSignature(AppBundleProperties::getArguments:0):329,1
FunctionSignature(AppBundleProperties::getClassPath:0):333,1
FunctionSignature(DocumentType::setName:1):126,1
FunctionSignature(DocumentType::getName:0):130,1
FunctionSignature(DocumentType::setExtensions:1):135,1
FunctionSignature(DocumentType::getExtensions:0):139,1
FunctionSignature(DocumentType::setOSTypes:1):144,1
FunctionSignature(DocumentType::getOSTypes:0):148,1
FunctionSignature(DocumentType::setMimeTypes:1):153,1
FunctionSignature(DocumentType::getMimeTypes:0):157,1
FunctionSignature(DocumentType::setIconFile:1):162,1
FunctionSignature(DocumentType::getIconFile:0):166,1
